X,0S,9.27434089,0.69362671,4.0,0.821117,0.17555301,0.30571698,0.17555301
X,7S,9.04737521,0.44466972,4.0,0.21159444,0.81427518,0.87712813,0.81427518
X,2S,8.17350349,0.77432635,4.0,0.58337962,0.17222121,0.60432249,0.17222121
X,5S,8.29457765,0.33330314,4.0,0.38267047,0.57717784,0.39352876,0.57717784
X,4S,6.23581857,0.72005135,4.0,0.25408865,0.30177323,0.86836758,0.30177323
X,6S,6.10228898,0.43216283,4.0,0.39412194,0.32905781,0.83876302,0.32905781
X,1S,5.42009347,0.87305163,4.0,0.33917602,0.44473874,0.82812188,0.44473874
X,8S,9.41660459,0.15942405,4.0,0.69599552,0.35870342,0.58045064,0.35870342
X,3S,3.45815209,0.30890731,4.0,0.19169791,0.75746489,0.98685824,0.75746489
X,9S,0.15512469,0.61236659,4.0,1.17888612,0.13510926,0.90211368,0.13510926
